identifiant;age;niveau;transport_min;lecture_heures;visites_bibliotheque;satisfaction
E001;19;L3;35;4.0;2;4
E002;21;M1;55;2.5;1;3
E003;20;L3;20;6.0;3;5
E004;23;M2;70;1.0;0;2
E005;22;M1;45;3.5;2;4
E006;20;L3;15;5.0;4;5
E007;24;M2;80;1.5;1;2
E008;21;M1;30;4.5;3;4
E009;19;L3;25;7.0;5;5
E010;25;M2;60;2.0;1;3
E011;22;M1;50;3.0;2;4
E012;20;L3;10;6.5;4;5
E013;24;M2;75;1.0;0;2
E014;21;M1;40;4.0;2;4
E015;19;L3;30;5.5;3;5
E016;23;M2;65;2.5;1;3
E017;22;M1;35;3.5;2;4
E018;20;L3;20;6.0;4;5
E019;26;M2;90;0.5;0;1
E020;21;M1;25;5.0;3;5
E021;19;L3;15;7.5;5;5
E022;24;M2;55;2.0;1;3
E023;22;M1;45;3.0;2;4
E024;20;L3;30;4.5;3;4
E025;25;M2;70;1.5;1;2
E026;21;M1;20;5.5;4;5
E027;19;L3;40;6.0;3;4
E028;23;M2;50;2.5;2;3
E029;22;M1;35;4.0;2;4
E030;20;L3;25;5.0;4;5
